date,Confirmed,Deaths,Recovered
2020-01-22 00:00:00,0.0,0.0,0.0
2020-01-23 00:00:00,0.0,0.0,0.0
2020-01-24 00:00:00,0.0,0.0,0.0
2020-01-25 00:00:00,0.0,0.0,0.0
2020-01-26 00:00:00,0.0,0.0,0.0
2020-01-27 00:00:00,0.0,0.0,0.0
2020-01-28 00:00:00,0.0,0.0,0.0
2020-01-29 00:00:00,0.0,0.0,0.0
2020-01-30 00:00:00,1.0,0.0,0.0
2020-01-31 00:00:00,1.0,0.0,0.0
2020-02-01 00:00:00,1.0,0.0,0.0
2020-02-02 00:00:00,2.0,1.0,0.0
2020-02-03 00:00:00,2.0,1.0,0.0
2020-02-04 00:00:00,2.0,1.0,0.0
2020-02-05 00:00:00,2.0,1.0,0.0
2020-02-06 00:00:00,2.0,1.0,0.0
2020-02-07 00:00:00,3.0,1.0,0.0
2020-02-08 00:00:00,3.0,1.0,0.0
2020-02-09 00:00:00,3.0,1.0,0.0
2020-02-10 00:00:00,3.0,1.0,0.0
2020-02-11 00:00:00,3.0,1.0,0.0
2020-02-12 00:00:00,3.0,1.0,1.0
2020-02-13 00:00:00,3.0,1.0,1.0
2020-02-14 00:00:00,3.0,1.0,1.0
2020-02-15 00:00:00,3.0,1.0,1.0
2020-02-16 00:00:00,3.0,1.0,1.0
2020-02-17 00:00:00,3.0,1.0,1.0
2020-02-18 00:00:00,3.0,1.0,1.0
2020-02-19 00:00:00,3.0,1.0,1.0
2020-02-20 00:00:00,3.0,1.0,1.0
2020-02-21 00:00:00,3.0,1.0,1.0
2020-02-22 00:00:00,3.0,1.0,1.0
2020-02-23 00:00:00,3.0,1.0,1.0
2020-02-24 00:00:00,3.0,1.0,1.0
2020-02-25 00:00:00,3.0,1.0,1.0
2020-02-26 00:00:00,3.0,1.0,1.0
2020-02-27 00:00:00,3.0,1.0,1.0
2020-02-28 00:00:00,3.0,1.0,1.0
2020-02-29 00:00:00,3.0,1.0,1.0
2020-03-01 00:00:00,3.0,1.0,1.0
2020-03-02 00:00:00,3.0,1.0,1.0
2020-03-03 00:00:00,3.0,1.0,1.0
2020-03-04 00:00:00,3.0,1.0,1.0
2020-03-05 00:00:00,3.0,1.0,1.0
2020-03-06 00:00:00,5.0,1.0,1.0
2020-03-07 00:00:00,6.0,1.0,1.0
2020-03-08 00:00:00,10.0,1.0,1.0
2020-03-09 00:00:00,20.0,1.0,1.0
2020-03-10 00:00:00,33.0,1.0,2.0
2020-03-11 00:00:00,49.0,1.0,2.0
2020-03-12 00:00:00,52.0,2.0,2.0
2020-03-13 00:00:00,64.0,5.0,2.0
2020-03-14 00:00:00,111.0,8.0,2.0
2020-03-15 00:00:00,140.0,11.0,2.0
2020-03-16 00:00:00,142.0,12.0,2.0
2020-03-17 00:00:00,187.0,12.0,5.0
2020-03-18 00:00:00,202.0,19.0,5.0
2020-03-19 00:00:00,217.0,17.0,8.0
2020-03-20 00:00:00,230.0,18.0,8.0
2020-03-21 00:00:00,307.0,19.0,13.0
2020-03-22 00:00:00,380.0,25.0,17.0
2020-03-23 00:00:00,462.0,33.0,17.0
2020-03-24 00:00:00,552.0,35.0,20.0
2020-03-25 00:00:00,636.0,38.0,26.0
2020-03-26 00:00:00,707.0,45.0,28.0
2020-03-27 00:00:00,803.0,54.0,31.0
2020-03-28 00:00:00,1075.0,68.0,35.0
2020-03-29 00:00:00,1418.0,71.0,42.0
2020-03-30 00:00:00,1546.0,78.0,42.0
2020-03-31 00:00:00,2084.0,88.0,49.0
2020-04-01 00:00:00,2311.0,96.0,50.0
2020-04-02 00:00:00,2633.0,107.0,51.0
2020-04-04 13:03:00,3094.0,144.0,57.0
2020-04-05 07:55:00,3094.0,144.0,57.0
2020-04-05 16:34:00,3246.0,152.0,64.0
2020-04-05 16:34:00,3246.0,152.0,64.0
