Country/Region,Confirmed,Deaths,Recovered
China,81285,3287,74051
USA,82179,1177,1864
Italy,80589,8215,10361
Spain,56347,4154,7015
Germany,43646,262,5673
Iran,29406,2234,10457
France,29155,1696,4948
Switzerland,11811,191,131
UK,11658,578,135
S. Korea,9241,131,4144
Netherlands,7431,434,3
Austria,6847,49,112
Belgium,6235,220,675
Canada,3910,39,199
Turkey,3629,75,26
Portugal,3544,60,43
Norway,3346,14,6
Australia,2985,13,170
Brazil,2915,77,6
Sweden,2840,77,16
Israel,2693,8,68
Malaysia,2031,23,215
Czechia,1925,9,10
Denmark,1877,41,1
Ireland,1819,19,5
Luxembourg,1453,9,6
Japan,1399,47,359
Ecuador,1382,34,3
Chile,1306,4,22
Poland,1221,16,7
Pakistan,1179,9,21
Thailand,1045,4,88
Romania,1029,22,94
Saudi Arabia,1012,3,33
Finland,958,5,10
South Africa,927,0,12
Indonesia,893,78,35
Greece,892,26,36
Russia,840,3,38
Iceland,802,2,68
India,722,16,45
Diamond Princess,712,10,597
Philippines,707,45,28
Singapore,683,2,172
Peru,580,9,14
Slovenia,562,6,10
Panama,558,8,2
Qatar,549,0,43
Estonia,538,1,8
Argentina,502,8,63
Egypt,495,24,102
Croatia,495,3,22
Colombia,491,6,8
Dominican Republic,488,10,3
Mexico,475,6,4
Bahrain,458,4,204
Serbia,457,7,15
Hong Kong,453,4,110
Iraq,382,36,105
Lebanon,368,6,23
Algeria,367,25,29
UAE,333,2,52
Lithuania,299,4,1
Armenia,290,1,18
New Zealand,283,0,27
Morocco,275,10,8
Bulgaria,264,3,8
Hungary,261,10,28
Taiwan,252,2,29
Latvia,244,0,1
Costa Rica,231,2,2
Slovakia,226,0,2
Andorra,224,3,1
Uruguay,217,0,0
Jordan,212,0,1
San Marino,208,21,4
Kuwait,208,0,49
North Macedonia,201,3,3
Tunisia,200,6,2
Ukraine,196,5,1
Bosnia and Herzegovina,189,3,2
Moldova,177,1,2
Albania,174,6,17
Vietnam,153,0,20
Burkina Faso,152,7,10
Cyprus,146,3,4
Faeroe Islands,140,0,47
Réunion,135,0,1
Malta,134,0,2
Ghana,132,4,1
Azerbaijan,122,3,15
Brunei,114,0,5
Kazakhstan,111,1,2
Oman,109,0,23
Sri Lanka,106,0,7
Venezuela,106,0,15
Senegal,105,0,9
Cambodia,96,0,10
Ivory Coast,96,0,3
Afghanistan,94,4,2
Belarus,86,0,29
Palestine,84,1,17
Mauritius,81,2,0
Georgia,79,0,11
Cameroon,75,1,2
Uzbekistan,75,0,0
Guadeloupe,73,1,0
Montenegro,69,1,0
Cuba,67,1,1
Channel Islands,66,1,0
Martinique,66,1,0
Nigeria,65,1,2
Trinidad and Tobago,65,1,0
Liechtenstein,56,0,0
Honduras,52,1,0
DRC,51,3,0
Bangladesh,44,5,11
Kyrgyzstan,44,0,0
Bolivia,43,0,0
Paraguay,41,3,0
Rwanda,41,0,0
Mayotte,36,0,0
Gibraltar,35,0,13
Monaco,33,0,1
Kenya,31,1,1
Macao,31,0,10
French Polynesia,30,0,0
French Guiana,28,0,6
Jamaica,26,1,2
Isle of Man,25,0,0
Guatemala,24,1,4
Madagascar,23,0,0
Togo,23,0,1
Aruba,19,0,1
Barbados,18,0,0
Zambia,16,0,0
New Caledonia,14,0,0
Uganda,14,0,0
El Salvador,13,0,0
Maldives,13,0,8
Tanzania,13,0,0
Equatorial Guinea,12,0,0
Ethiopia,12,0,0
Djibouti,11,0,0
Dominica,11,0,0
Mongolia,11,0,0
Saint Martin,11,0,0
Cayman Islands,8,1,0
Haiti,8,0,0
Namibia,8,0,2
Suriname,8,0,0
Gabon,7,1,0
Niger,7,1,0
Bermuda,7,0,2
Mozambique,7,0,0
Seychelles,7,0,0
Curaçao,6,1,2
Benin,6,0,0
Greenland,6,0,2
Laos,6,0,0
Guyana,5,1,0
Bahamas,5,0,1
Fiji,5,0,0
Syria,5,0,0
Cabo Verde,4,1,0
Angola,4,0,0
Congo,4,0,0
Eritrea,4,0,0
Guinea,4,0,0
Vatican City,4,0,0
Mali,4,0,0
Eswatini,4,0,0
Gambia,3,1,0
Sudan,3,1,0
Zimbabwe,3,1,0
Nepal,3,0,1
Antigua and Barbuda,3,0,0
CAR,3,0,0
Chad,3,0,0
Liberia,3,0,0
Mauritania,3,0,0
Myanmar,3,0,0
St. Barth,3,0,0
Saint Lucia,3,0,0
Sint Maarten,3,0,0
Belize,2,0,0
Bhutan,2,0,0
British Virgin Islands,2,0,0
Guinea-Bissau,2,0,0
Montserrat,2,0,0
Nicaragua,2,0,0
Saint Kitts and Nevis,2,0,0
Somalia,2,0,0
Turks and Caicos,2,0,0
Grenada,1,0,0
Libya,1,0,0
Papua New Guinea,1,0,0
St. Vincent Grenadines,1,0,0
Timor-Leste,1,0,0
